id,organisation,records_lost,month,year,sector,method,data_sensitivity,story,source_name,city,country,latitude,longitude,coordinates,dSens_desc,date
1,Plex,15000000,Aug,2022,web,hacked,1,"Intruders access password data, usernames, and emails for at least half of its 30 million users.",Ars technica,Los Gatos,USA,37.235,-121.9629,"[37.235, -121.9629]",Just email address/online information,2022-08-01
2,Twitter,5400000,Dec,2021,web,hacked,2,"Zero day vulnerability allowed a threat actor to create profiles of 5.4 million Twitter users inc. a verified phone number or email address, and scraped public information, such as follower counts, screen name, login name, etc",Bleeping Computer,San Francisco,USA,37.7749,-122.4194,"[37.7749, -122.4194]",SSN/Personal details,2021-12-01
148,Twitter,330000000,May,2018,tech,poor security,1,A glitch caused some passwords to be stored in readable text that was visible on Twitter's internal computer system.,Reuters,San Francisco,USA,37.7749,-122.4194,"[37.7749, -122.4194]",Just email address/online information,2018-05-01
273,Twitter,250000,Feb,2013,web,hacked,1,"A Java vulnerability gave hackers access to some user information including usernames, email addresses, session tokens and encrypted/salted versions of passwords.",CNN,San Francisco,USA,37.7749,-122.4194,"[37.7749, -122.4194]",Just email address/online information,2013-02-01
3,Shanghai Police,500000000,Jul,2022,financial,hacked,5,"A database containing records of over a billion Chinese civilians – allegedly stolen from the Shanghai Police. Addresses, police records and national ID numbers. Potentially one of the largest data breaches in history. Details repressed and censored by Chinese media.",The Register,Shanghai,China,31.2304,121.4737,"[31.2304, 121.4737]",Full details,2022-07-01
4,"City of Amagasaki, Japan",500000,Jun,2022,government,accident,3,An unnamed government official lost his bag after a night's drinking. It contained a USB stick with sensitive data of the entire city's residents. USB stick was encrypted and passworded.,BBC,Amagasaki,Japan,34.7303,135.5795,"[34.7303, 135.5795]",Credit card information,2022-06-01
6,Heroku,50000,Apr,2022,tech,hacked,2,"A compromised token was used by attackers to exfiltrate customers' hashed and salted passwords from ""a database."" on the Salesforce-owned cloud platform.",Bleeping Computer,San Francisco,USA,37.7749,-122.4194,"[37.7749, -122.4194]",SSN/Personal details,2022-04-01
7,Mailchimp,106586,Apr,2022,tech,hacked,1,Hackers gained access to internal customer support and account management tools of the email marketing company to steal audience data and conduct phishing attacks.,Bleeping Computer,Atlanta,USA,33.749,-84.388,"[33.749, -84.388]",Just email address/online information,2022-04-01
8,PayHere,1580249,Mar,2022,financial,hacked,3,"Sri Lankan payment gateway PayHere suffered a data breach exposing more than 65GB of payment records including over 1.5M unique email addresses. (IP and physical addresses, names, phone numbers, purchase histories and partially obfuscated credit card data (card type, first 6 and last 4 digits plus expiry date).",Pay Here,Colombo,Sri Lanka,6.9271,79.8612,"[6.9271, 79.8612]",Credit card information,2022-03-01
9,CDEK,18218203,Mar,2022,retail,hacked,3,"UNVERIFIED. Russian courier service CDEK was hacked by Ukrainian hacker group ""IT Army"" - including 19M unique email addresses along with names and phone numbers. ",Have I Been Pwned,Novosibirsk,Russia,55.0084,82.9357,"[55.0084, 82.9357]",Credit card information,2022-03-01
10,Washington State Dpt of Licensing,257000,Feb,2022,government,hacked,3,The Washington State Department of Licensing said the personal information of potentially millions of licensed professionals may have been exposed after it detected suspicious activity on its online licensing system.,Seattle Times,Olympia,USA,47.0379,-122.9007,"[47.0379, -122.9007]",Credit card information,2022-02-01
13,FlexBooker,3700000,Jan,2022,web,hacked,3,appointment scheduling service,Bleeping Computer,Calgary,Canada,51.0447,-114.0719,"[51.0447, -114.0719]",Credit card information,2022-01-01
15,Robinhood,5000937,Nov,2021,financial,hacked,2,"a malicious hacker had socially engineered a customer service representative over the phone November 3 to get access to customer support systems. That allowed the hacker to obtain customer names and email addresses, but also the additional full names, dates of birth and ZIP codes of 310 customers.",Tech Crunch,Menlo Park,USA,37.4529,-122.1817,"[37.4529, -122.1817]",SSN/Personal details,2021-11-01
16,GoDaddy,1200000,Nov,2021,web,hacked,1,Security Incident Affecting Managed WordPress Servic,SEC,Scottsdale,USA,33.4942,-111.9261,"[33.4942, -111.9261]",Just email address/online information,2021-11-01
